"cell_id","vertex_x","vertex_y"
1,1094.1625,3366.0
1,1091.4,3367.7
1,1089.9125,3371.3125
1,1090.125,3374.2876
1,1091.1875,3375.35
1,1092.4625,3375.775
1,1095.0125,3375.5625
1,1097.9875,3374.075
1,1098.8375,3370.675
1,1098.625,3369.1875
1,1097.775,3367.4875
1,1095.65,3366.0
1,1094.1625,3366.0
2,1097.9875,3374.2876
2,1095.4375,3375.775
2,1094.1625,3377.2625
2,1094.1625,3377.9
2,1094.8,3378.75
2,1096.5,3379.175
2,1098.4125,3378.9624
2,1099.2625,3377.6875
2,1099.2625,3375.9875
2,1099.05,3375.775
2,1099.05,3374.925
2,1098.625,3374.2876
2,1097.9875,3374.2876
3,1102.6625,3393.625
3,1101.3875,3394.2625
3,1099.9,3397.875
3,1097.5625,3400.425
3,1097.1375,3401.7
3,1097.9875,3403.6125
3,1100.75,3404.675
3,1102.45,3404.675
3,1104.15,3403.4
3,1106.4875,3398.725
3,1106.275,3395.75
3,1103.9375,3393.625
3,1102.6625,3393.625
4,1113.7125,3387.8875
4,1112.4375,3388.525
4,1112.0125,3389.375
4,1111.1625,3394.6875
4,1112.4375,3397.025
4,1115.8375,3398.0874
4,1117.75,3397.45
4,1119.025,3395.325
4,1118.6,3393.2
4,1118.8125,3389.375
4,1118.175,3388.7375
4,1115.8375,3387.8875
4,1113.7125,3387.8875
5,1122.425,3385.975
5,1118.8125,3388.7375
5,1118.8125,3391.925
5,1119.45,3393.625
5,1120.3,3394.475
5,1122.0,3395.1125
5,1124.3375,3394.6875
5,1125.1875,3395.325
5,1126.25,3394.6875
5,1125.4,3392.1375
5,1126.675,3388.3125
5,1123.0625,3385.975
5,1122.425,3385.975
6,1126.675,3377.05
6,1124.975,3378.5376
6,1124.125,3382.15
6,1123.0625,3385.3374
6,1124.3375,3386.825
6,1126.8875,3387.8875
6,1128.5875,3387.25
6,1130.925,3384.4875
6,1130.5,3383.0
6,1130.7125,3379.8125
6,1130.075,3378.1125
6,1127.1,3377.05
6,1126.675,3377.05
7,1136.6625,3369.825
7,1135.6,3370.25
7,1134.325,3372.8
7,1134.325,3375.5625
7,1136.45,3376.625
7,1135.3875,3376.625
7,1135.3875,3378.1125
7,1138.3625,3376.8374
7,1142.1875,3374.7124
7,1142.1875,3373.0125
7,1141.3375,3371.3125
7,1138.575,3369.825
7,1136.6625,3369.825
8,1158.975,3380.6626
8,1156.0,3382.15
8,1154.9375,3384.7
8,1154.9375,3386.1875
8,1155.575,3388.7375
8,1156.425,3390.65
8,1157.7,3391.5
8,1161.1,3390.8625
